Comment,Designator,Footprint,LCSC,Quantity
0.1uf,"C10,C11,C12,C14,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C8,C9",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525,20
100ohm,"R3,R4,R5,R6,R7,R8,R9",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25076,7
10k,"R12,R13,R14,R15",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744,4
10uf,C2,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C15525,1
10uh,L1,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C1046,1
160k,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22813,1
1k,R10,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C11702,1
1uf,"C15,C16,C30",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923,3
2.2M,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22938,1
22pf,C6,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1555,1
22uf,"C13,C7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783,2
22uf,"C1,C4,C5",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C59461,3
2k,R11,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C4109,1
74HC165,U8,SO-16_3.9x9.9mm_P1.27mm,C5613,1
74HC595,"U4,U5,U6",SO-16_3.9x9.9mm_P1.27mm,C5947,3
D_Schottky,"D1,D2,D3",D_SOD-123,C8598,3
GZ2012D601TF,FB1,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C1017,1
SN74LVC4245APWR,U7,TSSOP-24_4.4x7.8mm_P0.65mm,C7859,1
TPS61040DBV,U3,SOT-23-5,C7722,1
XC6206P332MR-G,U2,SOT-23-3,C5446,1
