Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,171.79,-95.79,90.0,bottom
C10,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,147.41,-97.48,180.0,bottom
C11,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,133.78,-97.61,180.0,bottom
C12,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,175.93,-80.39,0.0,bottom
C13,22uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,152.55,-94.98,270.0,bottom
C14,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,175.96,-82.01,0.0,bottom
C15,1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,175.91,-78.35,0.0,bottom
C16,1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,175.9375,-84.04,0.0,bottom
C17,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,162.88,-93.32,90.0,bottom
C18,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,163.54,-87.38,0.0,bottom
C19,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,132.92,-79.61,90.0,bottom
C2,10uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,170.16,-95.88,270.0,bottom
C20,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,175.49,-69.11,0.0,bottom
C21,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,175.49,-68.13,0.0,bottom
C22,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,175.49,-71.07,0.0,bottom
C23,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,175.49,-70.09,0.0,bottom
C24,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,175.49,-73.03,0.0,bottom
C25,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,175.49,-72.05,0.0,bottom
C26,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,175.49,-74.99,0.0,bottom
C27,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,175.49,-74.01,0.0,bottom
C28,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,177.34,-65.39,90.0,bottom
C29,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,131.96,-69.22,180.0,bottom
C3,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,169.05,-95.87,270.0,bottom
C30,1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,111.4,-89.24,90.0,bottom
C4,22uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,163.41,-98.62,270.0,bottom
C5,22uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,176.1,-98.66,0.0,bottom
C6,22pf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,167.65,-100.86,180.0,bottom
C7,22uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,166.72,-104.31,0.0,bottom
C8,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,135.74,-97.97,90.0,bottom
C9,0.1uf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,159.48,-100.23,270.0,bottom
D1,D_Schottky,D_SOD-123,174.11,-95.0,90.0,bottom
D2,D_Schottky,D_SOD-123,172.09,-104.74,180.0,bottom
D3,D_Schottky,D_SOD-123,174.33,-65.1,0.0,bottom
FB1,GZ2012D601TF,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,176.6,-93.4,90.0,bottom
L1,10uh,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,176.42,-102.37,270.0,bottom
MHP1,ToolingHole_1.152mm,,106.48,-62.63,0.0,top
MHP3,ToolingHole_1.152mm,ToolingHole_1.152mm,186.65,-112.62,0.0,top
R1,2.2M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,167.935368,-102.088268,180.0,bottom
R10,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,109.5275,-84.83,180.0,bottom
R11,2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,109.5375,-83.78,0.0,bottom
R12,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,175.93,-79.38,0.0,bottom
R13,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,174.21,-80.02,270.0,bottom
R14,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,175.9375,-83.04,0.0,bottom
R15,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,174.23,-82.36,90.0,bottom
R2,160k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,167.06,-99.56,0.0,bottom
R3,100ohm,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,123.3425,-75.05,0.0,bottom
R4,100ohm,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,123.3525,-76.4,0.0,bottom
R5,100ohm,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,123.3725,-77.81,0.0,bottom
R6,100ohm,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,133.8175,-77.69,180.0,bottom
R7,100ohm,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,133.7875,-76.47,180.0,bottom
R8,100ohm,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,133.7775,-75.21,180.0,bottom
R9,100ohm,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,133.7675,-73.95,180.0,bottom
U2,XC6206P332MR-G,SOT-23-3,166.37,-95.44,270.0,bottom
U3,TPS61040DBV,SOT-23-5,172.57,-100.75,0.0,bottom
U4,74HC595,SO-16_3.9x9.9mm_P1.27mm,153.7275,-101.9,0.0,bottom
U5,74HC595,SO-16_3.9x9.9mm_P1.27mm,142.225,-101.875,0.0,bottom
U6,74HC595,SO-16_3.9x9.9mm_P1.27mm,129.955,-101.865,0.0,bottom
U7,SN74LVC4245APWR,TSSOP-24_4.4x7.8mm_P0.65mm,158.19,-90.67,0.0,bottom
U8,74HC165,SO-16_3.9x9.9mm_P1.27mm,128.715,-75.815,90.0,bottom
